0,1,2,3,4,5,actual,predicted
0.0030207955,0.010049997,0.0015577181,0.82579905,0.10205823,0.05751416,5,3
0.00043331768,0.1827378,0.53763014,0.03454195,0.009603956,0.23505285,4,2
0.18430535,0.087478615,0.12714577,0.5604171,0.028544907,0.012108308,0,3
6.279697e-05,0.30942744,0.043601006,0.6269585,0.01827887,0.0016713798,3,3
7.962841e-05,0.6321272,0.30211687,0.025698964,0.030522974,0.009454287,3,1
3.24575e-05,0.0017357393,0.7663932,0.21101168,0.0086318,0.012195139,5,2
6.0002792e-05,0.18545899,0.11519396,0.42006958,0.012021607,0.2671958,1,3
0.004997772,0.1780862,0.04396457,0.0076744547,0.008098376,0.75717866,5,5
0.0003234763,0.005793942,0.10677665,0.00028392917,0.0076126633,0.8792093,4,5
7.1371974e-06,0.003602032,0.98905945,0.0021318784,0.0023280743,0.002871293,2,2
2.4500256e-05,0.25878665,0.0054509803,0.21158661,0.5240677,8.359361e-05,1,4
0.94673616,0.016166167,0.0008215426,0.018380418,0.017429715,0.00046598385,0,0
0.00026553267,0.014272322,0.14038661,0.04907838,0.4622708,0.33372644,2,4
0.00018488198,1.0599836e-05,0.0007971355,0.00043017,0.007895018,0.99068224,5,5
0.0013191698,0.0043081255,0.003002272,0.42915213,0.54390883,0.018309502,3,4
0.15118343,0.0043142783,0.0024831975,0.0003133684,0.2742559,0.56744987,3,5
0.00021599128,0.04848028,0.01301106,0.072440386,0.4043157,0.46153656,4,5
0.5178862,0.2001222,0.007020652,0.033572137,0.10005351,0.14134522,2,0
0.00028479806,0.00451817,0.005956459,0.028297024,0.45590517,0.50503844,3,5
0.0018131158,0.19502062,0.0015947069,0.013190998,0.5042657,0.28411487,5,4
0.00079001585,0.021681475,0.39051843,0.034907423,0.076807916,0.47529486,1,5
0.0002739808,0.056674685,0.039657857,0.78530896,0.11456657,0.0035180068,1,3
0.0080450745,0.4758764,0.3486579,0.036843844,0.07321356,0.057363313,2,1
0.5275707,0.011872832,0.037879553,0.0016844701,0.0066785635,0.41431385,0,0
0.0052228733,0.02626195,0.0048462916,0.0072590187,0.8760149,0.08039498,4,4
9.618055e-05,0.2472535,0.5019717,0.011156725,0.22640572,0.013116205,1,2
