word,weight
undergo,1.9960739612579346
honored,2.0024404525756836
stimulate,2.007957696914673
developing,2.008172035217285
insurance,2.0239293575286865
ct,2.0563600063323975
franz,2.076298952102661
relationships,2.108646869659424
battalion,2.132633924484253
votes,2.1332685947418213
firearm,2.16131591796875
interval,2.1974480152130127
comedian,2.2151975631713867
page,2.2541520595550537
devices,2.2878220081329346
highlights,2.2893271446228027
shirts,2.348736524581909
historical,2.4079976081848145
dance,2.42502498626709
duty,2.440912961959839
gain,2.4636011123657227
bugs,2.524104356765747
1947,2.6228890419006348
q,2.6288492679595947
character,2.7701265811920166
connectivity,2.811476945877075
pale,2.8652639389038086
syria,2.875664234161377
abstract,3.011805295944214
throughout,3.10170316696167
auto,0.1634647399187088
rebel,0.1844605952501297
demographics,0.20407423377037048
exploits,0.20755033195018768
cherry,0.2100873440504074
field,0.237404927611351
crossing,0.23969563841819763
closet,0.24407704174518585
formats,0.24847349524497986
preservation,0.2530781626701355
one,0.2534438371658325
assembly,0.2542647123336792
outbreak,0.2554517984390259
screws,0.259709894657135
display,0.2600457966327667
defence,0.2605823278427124
norm,0.26136425137519836
exhibited,0.2634052336215973
stupid,0.26345962285995483
far,0.2697386145591736
massacre,0.2704393267631531
extended,0.2714621126651764
pointer,0.2715602219104767
accessed,0.2723838984966278
liner,0.273386687040329
necessity,0.27507567405700684
of,0.2792975902557373
new,0.2800562083721161
beginning,0.28314316272735596
dad,0.284638911485672
