Epoch 1, Norm: 13.79, NNZs: 367364, Bias: -0.261857, T: 95805, Avg. loss: 0.683715, Total training time: 0.28 seconds.
Epoch 2, Norm: 13.71, NNZs: 370316, Bias: -0.277950, T: 191610, Avg. loss: 0.675860, Total training time: 0.46 seconds.
Epoch 3, Norm: 13.71, NNZs: 370612, Bias: -0.287542, T: 287415, Avg. loss: 0.675280, Total training time: 0.59 seconds.
Epoch 4, Norm: 13.69, NNZs: 370734, Bias: -0.292576, T: 383220, Avg. loss: 0.675029, Total training time: 0.75 seconds.
Epoch 5, Norm: 13.68, NNZs: 370892, Bias: -0.296771, T: 479025, Avg. loss: 0.674845, Total training time: 0.96 seconds.
Epoch 6, Norm: 13.67, NNZs: 370919, Bias: -0.295676, T: 574830, Avg. loss: 0.674797, Total training time: 1.12 seconds.
Epoch 7, Norm: 13.67, NNZs: 370921, Bias: -0.298572, T: 670635, Avg. loss: 0.674827, Total training time: 1.32 seconds.
Epoch 8, Norm: 13.66, NNZs: 370958, Bias: -0.299870, T: 766440, Avg. loss: 0.674705, Total training time: 1.47 seconds.
Epoch 9, Norm: 13.66, NNZs: 370959, Bias: -0.302060, T: 862245, Avg. loss: 0.674742, Total training time: 1.64 seconds.
Epoch 10, Norm: 13.66, NNZs: 370959, Bias: -0.303318, T: 958050, Avg. loss: 0.674634, Total training time: 1.81 seconds.
