universe,0.7113958867602844
world,0.7234618145740621
implications,0.743377572670179
select,0.7597913682877929
study,0.7605797482728871
galaxies,0.7773906741277928
ensure,0.796967894204924
provides,0.8218081045209942
potential,0.8303772768696477
presents,0.8455450103774792
help,0.8469326101994697
understand,0.8531463627110146
article,0.8873758320105083
conclusion,0.895453571830521
significant,0.9289448659290138
steps,0.9305496308447461
provide,1.0468247629671104
approach,1.063570193714454
additionally,1.0938452778859085
model,1.0945946636049535
authors,1.1385930126988872
including,1.1429940833093908
create,1.1555310011147946
research,1.279779074568432
understanding,1.3130652744731885
overall,1.3575733162820132
click,1.369712627793389
step,1.4110356357424445
important,1.6290829159060154
paper,2.1685354654273965
references,-1.4276557184339533
see,-1.1428856641995917
like,-1.0985585889975105
links,-1.068477646697511
etc,-1.021752904117934
may,-0.9686444625758265
_url_0_,-0.9656738933282747
external,-0.9641108321035204
one,-0.893559002864767
much,-0.8748575656990907
point,-0.7159658506356081
reviewers,-0.6810003327219333
basically,-0.6809396939533162
even,-0.6791496415637057
al,-0.676154079523594
say,-0.6737021513020403
less,-0.6693455790583946
though,-0.6692745842304645
every,-0.6686415076995607
get,-0.6628149342824603
actually,-0.6572377996607037
two,-0.6548049080937105
probably,-0.649870193255595
births,-0.63674410273599
going,-0.6321254348633475
seems,-0.6311035293258596
lot,-0.6196684550409117
either,-0.6171882687242197
things,-0.6153476384840063
et,-0.6133236475723085
