train_sizes,train_scores_mean,test_scores_mean,train_scores_std,test_scores_std
7664,0.7153705636743215,0.6639006314910494,0.00454070981210859,0.0018762050639042043
15328,0.6965292275574112,0.6690778143103179,0.003079331941544883,0.0008616142824900093
22993,0.6860174835819597,0.666363968477637,0.0008204115076798379,0.003896471861979306
30657,0.6836285350817106,0.670779186890037,0.00487406557359794,0.006937799288685276
38322,0.6868587234486718,0.6756849851260373,0.0038109800328129675,0.005905694023117023
45986,0.6816552863915104,0.6740358018892542,0.0008922225309337693,0.00393459191110868
53650,0.6791015843429636,0.6721047962006158,0.0024845994815433617,0.0040536575034883435
61315,0.6794030824431216,0.6738896717290329,0.0012626161742754923,0.0032140500815477815
68979,0.6765102422476407,0.6712802045822243,0.000897982114396527,0.003419513295157401
76644,0.6785841031261416,0.6738061687803351,0.0010468029593211732,0.0028124972005647095
